Sexo,Instituição,Curso,Período,UF,Minicurso
F,UFRJ,Astronomia,>=8,RJ,2
F,UFRJ,Astronomia,5,RJ,JN
F,UFRJ,Astronomia,>=8,RJ,2
F,FAETEC-SP,Computação,6,SP,JN
M,IFRJ,Física,4,RJ,JN
M,UFU,Física,5,MG,JN
M,UNB,Física,5,DF,2
F,UEL,Física,4,PR,2
M,UESC,Física,>=8,BA,JN
M,ON,Astronomia,>=8,RJ,JN
F,UFRJ,Astronomia,7,RJ,JN
M,UFRJ,Astronomia,7,RJ,2
F,UFRJ,Astronomia,5,RJ,2
F,USJT,Eng. Eletrônica,6,SP,JN
M,CSV,Física,5,RJ,JN
F,UFRJ,Astronomia,7,RJ,2
M,UNB,Física,7,DF,2
M,UFRJ,Astronomia,7,RJ,2
F,UFRJ,Astronomia,5,RJ,2
F,IFSC-USP,Física,>=8,SP,2
M,IFSP,Física,4,SP,SS
F,UFRJ,Astronomia,5,RJ,2
M,UFRJ,Astronomia,5,RJ,SS
M,UFRJ,Astronomia,5,RJ,SS
M,UFMS,Física,2,MS,JN
F,UFRJ,Astronomia,>=8,RJ,2
M,UFRJ,Astronomia,4,RJ,SS
F,UFRJ,Geologia,5,RJ,JN
M,IAE,Física,>=8,SP,2
