obj_id,ra,dec,z_gal,z_cluster,n_gals,mag_g,mag_r,mag_i,mag_z,mag_y
161155,43.687638,-58.985581,0.483762,0.421065,263.8428,23.253954,22.224186,22.088303,22.003595,22.561129
161156,43.627321,-58.833762,0.573784,0.421065,263.8428,22.958794,22.013378,21.562824,21.240536,20.883377
161157,43.550251,-58.979774,0.415583,0.421065,263.8428,22.091076,20.356499,19.780567,19.422976,19.240734
161158,43.761604,-58.938851,0.552824,0.421065,263.8428,21.797768,21.155682,20.79138,20.776703,20.670448
161159,43.600389,-58.909786,0.407436,0.421065,263.8428,22.366661,20.615086,20.053463,19.69576,19.527836
161160,43.516192,-58.929632,0.475282,0.421065,263.8428,23.869787,22.361982,21.869207,21.517494,21.212862
161161,43.58082,-58.914635,0.35485,0.421065,263.8428,21.937378,21.230558,21.00483,20.683954,20.75458
161162,43.611179,-58.913308,0.440297,0.421065,263.8428,22.949345,21.137943,20.539051,20.179005,19.92856
161163,43.64719,-58.850289,0.494794,0.421065,263.8428,21.37568,20.22587,19.978466,19.688044,19.64407
161164,43.687678,-59.008663,0.522265,0.421065,263.8428,22.939753,21.898615,21.641058,21.707533,20.924599
161165,43.498538,-58.958452,0.471722,0.421065,263.8428,23.068113,21.230026,20.601881,20.238815,20.100143
161166,43.655584,-58.906359,0.378797,0.421065,263.8428,22.161491,20.631884,20.120962,19.871998,19.728668
161167,43.549019,-58.910063,0.433448,0.421065,263.8428,23.65854,21.95436,21.40127,21.115252,21.336838
161168,43.715122,-58.866114,0.424932,0.421065,263.8428,23.035965,21.58507,21.100945,20.835314,21.055258
161169,43.656368,-58.930906,0.471752,0.421065,263.8428,23.067846,21.520084,20.926743,20.58733,20.288422
161170,43.667537,-58.904395,0.4497,0.421065,263.8428,22.526447,21.295155,20.788088,20.394894,20.343554
161171,43.666565,-58.875785,0.394866,0.421065,263.8428,22.388378,21.640606,21.493458,21.123642,20.531532
161172,43.579987,-58.86502,0.469112,0.421065,263.8428,24.314135,22.277401,21.856201,21.518213,20.825993
161173,43.611086,-58.837324,0.527813,0.421065,263.8428,23.142672,22.157328,21.833414,21.633251,22.934704
161174,43.446647,-58.978684,0.563177,0.421065,263.8428,22.537958,21.840355,21.485754,21.40592,99.0
161175,43.632445,-58.933333,0.558527,0.421065,263.8428,23.838766,22.293793,21.592762,21.275988,21.893534
161176,43.535112,-58.901795,0.39592,0.421065,263.8428,22.749777,21.108116,20.58524,20.271328,20.406918
161177,43.506016,-59.012117,0.414526,0.421065,263.8428,22.332502,20.708014,20.145784,19.87446,19.666544
161178,43.499113,-59.000571,0.41182,0.421065,263.8428,22.508162,21.741121,21.507862,21.30182,21.528896
161179,43.617168,-58.87262,0.385244,0.421065,263.8428,20.924566,19.852192,19.49146,19.132288,18.932934
161180,43.547903,-58.986727,0.455508,0.421065,263.8428,23.028152,21.319649,20.742456,20.363792,20.02386
161181,43.561403,-58.940479,0.428095,0.421065,263.8428,22.89824,21.230589,20.689625,20.247688,19.961609
161182,43.639865,-58.939287,0.444897,0.421065,263.8428,22.26073,20.483835,19.865393,19.48981,19.419956
161183,43.600994,-58.936922,0.411736,0.421065,263.8428,22.171238,20.405466,19.839607,19.510214,19.423132
161184,43.665016,-59.017134,0.375218,0.421065,263.8428,23.024187,21.76893,21.396835,20.985182,20.842016
161185,43.547787,-58.98227,0.508494,0.421065,263.8428,23.53078,22.137535,21.56922,21.28764,20.724602
161186,43.72045,-58.924408,0.408682,0.421065,263.8428,22.001825,21.056818,20.740213,20.3965,20.60017
161187,43.507066,-59.023032,0.415961,0.421065,263.8428,21.691093,20.614243,20.270279,19.928532,19.872507
161188,43.419644,-59.00821,0.514144,0.421065,263.8428,21.577686,20.52494,19.946718,19.599167,19.485
161189,43.734944,-58.9705,0.476783,0.421065,263.8428,23.88873,22.129383,21.57862,21.2634,20.997608
161190,43.564498,-58.935705,0.483976,0.421065,263.8428,23.526052,21.925266,21.33603,21.037844,20.934244
